ID,run,sample,donor,irradiation,time,cell,Passage,condition,Seeding date, seeded cells x 105,Irradiation date,Detachment date,total cell numbers x 106,number of tubes,cell numbers/tube,%_Purity,%_Viability,read_name,rna_input_ng,rna_quality_rin,endpcr_cycles,tape_d1000_bp,tape_d1000_conc_ngul,pf_reads_run_total,paired_end,pf_reads_sample_percent,pf_reads_sample,cell_passage,seed_date,harvest_date,rna_extract_date,entity
,,DSC_27_23_3x_UVA24_24h,27_23,3x_UVA24,24h,DSC,9,DSC_3x_UVA24_24h,10.01.2025,7,27-29.01.2025,30.01.2025,1,1,0.52,99.9,93.69,,,,,,,,,,,,,,,
,,DSC_27_23_1x_UVA72_UVB900_24h,27_23,1x_UVA72_UVB900,24h,DSC,9,DSC_1x_UVA72_UVB900_24h,10.01.2025,7,29.01.2025,30.01.2025,0.85,1,0.32,99.61,61.21,,,,,,,,,,,,,,,
,,DSC_27_23_3x_UVA24_UVB300_24h,27_23,3x_UVA24_UVB300,24h,DSC,9,DSC_3x_UVA24_UVB300_24h,10.01.2025,7,27-29.01.2025,30.01.2025,0.47,1,0.27,99.41,65.57,,,,,,,,,,,,,,,
D41,EKB_20250417,DSC_28_23_control_6h,28_23,control,6h,DSC,6,DSC_control_6h,24.01.2025,9,29.01.2025,29.01.2025,1.57,2,0.78,99.7,86.32,,500,9.8,15,416,4.4,,,,,,,,,
D42,EKB_20250417,DSC_28_23_1x_UVB300_6h,28_23,1x_UVB300,6h,DSC,6,DSC_1x_UVB300_6h,24.01.2025,9,29.01.2025,29.01.2025,1,1,1,99.88,90.41,,500,10,15,426,6.5,,,,,,,,,
D43,EKB_20250417,DSC_28_23_1x_UVB900_6h,28_23,1x_UVB900,6h,DSC,6,DSC_1x_UVB900_6h,24.01.2025,9,29.01.2025,29.01.2025,0.72,1,0.72,99.86,88.24,,384.5,10,15,391,4.8,,,,,,,,,
D44,EKB_20250417,DSC_28_23_3x_UVB300_6h,28_23,3x_UVB300,6h,DSC,6,DSC_3x_UVB300_6h,24.01.2025,9,27-29.01.2025,29.01.2025,0.8,1,0.8,99.84,70.99,,500,10,15,425,2.6,,,,,,,,,
,,DSC_28_23_1x_UVA72_6h,28_23,1x_UVA72,6h,DSC,6,DSC_1x_UVA72_6h,24.01.2025,9,29.01.2025,29.01.2025,0.65,1,0.65,99.41,81.47,,,,,,,,,,,,,,,
,,DSC_28_23_3x_UVA24_6h,28_23,3x_UVA24,6h,DSC,6,DSC_3x_UVA24_6h,24.01.2025,9,27-29.01.2025,29.01.2025,1,1,1,99.84,82.3,,,,,,,,,,,,,,,
,,DSC_28_23_1x_UVA72_UVB900_6h,28_23,1x_UVA72_UVB900,6h,DSC,6,DSC_1x_UVA72_UVB900_6h,24.01.2025,9,29.01.2025,29.01.2025,0.85,1,0.85,99.63,88.8,,,,,,,,,,,,,,,
,,DSC_28_23_3x_UVA24_UVB300_6h,28_23,3x_UVA24_UVB300,6h,DSC,6,DSC_3x_UVA24_UVB300_6h,24.01.2025,9,27-29.01.2025,29.01.2025,0.47,1,0.47,99.88,85.67,,,,,,,,,,,,,,,
D45,library failed,DSC_28_23_control_24h,28_23,control,24h,DSC,6,DSC_control_24h,24.01.2025,9,27-29.01.2025,30.01.2025,2.47,2,2.47,99.86,93.18,,500,9.9,15,library failed,library failed,,,,,,,,,
D46,EKB_20250417,DSC_28_23_1x_UVB300_24h,28_23,1x_UVB300,24h,DSC,6,DSC_1x_UVB300_24h,24.01.2025,9,29.01.2025,30.01.2025,1.1,1,1.1,99.82,94.89,,500,10,15,376,5.8,,,,,,,,,
D47,EKB_20250417,DSC_28_23_1x_UVB900_24h,28_23,1x_UVB900,24h,DSC,6,DSC_1x_UVB900_24h,24.01.2025,9,29.01.2025,30.01.2025,0.92,1,0.92,99.53,84.72,,500,9.9,15,389,4.5,,,,,,,,,
D48,EKB_20250417,DSC_28_23_3x_UVB300_24h,28_23,3x_UVB300,24h,DSC,6,DSC_3x_UVB300_24h,24.01.2025,9,27-29.01.2025,30.01.2025,0.5,1,0.5,99.85,87.81,,357.5,10,15,379,5.9,,,,,,,,,
,,DSC_28_23_1x_UVA72_24h,28_23,1x_UVA72,24h,DSC,6,DSC_1x_UVA72_24h,24.01.2025,9,29.01.2025,30.01.2025,1.2,1,1.2,99.8,93.28,,,,,,,,,,,,,,,
,,DSC_28_23_3x_UVA24_24h,28_23,3x_UVA24,24h,DSC,6,DSC_3x_UVA24_24h,24.01.2025,9,27-29.01.2025,30.01.2025,0.85,1,0.85,99.72,94.03,,,,,,,,,,,,,,,
,,DSC_28_23_1x_UVA72_UVB900_24h,28_23,1x_UVA72_UVB900,24h,DSC,6,DSC_1x_UVA72_UVB900_24h,24.01.2025,9,29.01.2025,30.01.2025,1.32,1,1.32,99.25,80.07,,,,,,,,,,,,,,,
,,DSC_28_23_3x_UVA24_UVB300_24h,28_23,3x_UVA24_UVB300,24h,DSC,6,DSC_3x_UVA24_UVB300_24h,24.01.2025,9,27-29.01.2025,30.01.2025,0.4,1,0.4,99.48,78.41,,,,,,,,,,,,,,,
D9,EKB_20250410,DSC_29_23_control_6h,29_23,control,6h,DSC,7,DSC_control_6h,10.01.2025,7,22.01.2025,22.01.2025,3,3,1,99.85,91.38,,500,10,15,445,2.92,,,,,,,,,
D10,EKB_20250410,DSC_29_23_1x_UVB300_6h,29_23,1x_UVB300,6h,DSC,7,DSC_1x_UVB300_6h,10.01.2025,7,22.01.2025,22.01.2025,3.3,3,1.1,99.81,93.02,,500,9.7,15,443,1.88,,,,,,,,,
D11,EKB_20250410,DSC_29_23_1x_UVB900_6h,29_23,1x_UVB900,6h,DSC,7,DSC_1x_UVB900_6h,10.01.2025,7,22.01.2025,22.01.2025,3,3,1,99.67,88.39,,500,9.9,15,413,2.43,,,,,,,,,
